ticket_id,created_at,resolved_at,status,agent,issue_summary,description
101,2025-01-05 09:12,2025-01-05 10:03,Resolved,Alice,Password reset,User forgot password and requested a reset.
102,2025-01-06 11:45,2025-01-06 14:20,Resolved,Bob,Email not syncing,Outlook stopped syncing with mail server intermittently.
103,2025-01-07 08:30,,In Progress,Charlie,VPN connection drops,Vpn disconnects every 10 minutes during remote work.
104,2025-01-08 13:14,2025-01-08 15:40,Resolved,Diana,Application crash,Internal finance tool crashes when exporting reports.
105,2025-01-09 10:02,,New,Ethan,Slow laptop performance,Employee reports extreme slowness after system update.
106,2025-01-10 16:18,2025-01-10 17:02,Resolved,Fiona,Printer offline,Printer not detected on office network suddenly.
107,2025-01-11 09:50,,In Progress,George,Network outage,Users report not being able to reach internal services.
108,2025-01-12 12:40,2025-01-12 13:55,Resolved,Hannah,Two-factor failure,User device not receiving authentication codes.
109,2025-01-13 14:10,2025-01-13 14:50,Resolved,Ivan,System freeze,System becomes unresponsive when launching dev tools.
110,2025-01-14 10:22,,New,Julia,Software installation block,User unable to install approved software due to permission issue.
